variant,entry_mode,return,max_drawdown,trade_count,gross_closed_pnl,net_closed_pnl,profit_factor,avg_winner,avg_loser,expectancy_per_trade,avg_R_realized,remove_best_trade_net,mfe_capture_ratio,take_R,breakout_lookback,stop_atr,range_expand_mult,winner_loser_ratio,return_over_dd
XP_TK18_BL18_ST2.0_RE1.2,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,18.0,18,2.0,1.2,11.328464177856468,5.328794308711208
XP_TK18_BL18_ST2.0_RE1.3,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,18.0,18,2.0,1.3,11.328464177856468,5.328794308711208
XP_TK18_BL21_ST2.0_RE1.2,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,18.0,21,2.0,1.2,11.328464177856468,5.328794308711208
XP_TK18_BL21_ST2.0_RE1.3,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,18.0,21,2.0,1.3,11.328464177856468,5.328794308711208
XP_TK18_BL24_ST2.0_RE1.2,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,18.0,24,2.0,1.2,11.328464177856468,5.328794308711208
XP_TK18_BL24_ST2.0_RE1.3,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,18.0,24,2.0,1.3,11.328464177856468,5.328794308711208
XP_TK20_BL18_ST2.2_RE1.2,chase,0.019348313928971184,-0.012033916545568957,13,207.84831034991828,195.82796201491826,4.264351942996126,51.16356109230219,-7.498730430824086,15.063689385762943,2.4869906692069246,79.56917406002191,-21.145621098527332,20.0,18,2.2,1.2,6.822963108793802,1.607815199291496
XP_TK20_BL18_ST2.2_RE1.3,chase,0.019348313928971184,-0.012033916545568957,13,207.84831034991828,195.82796201491826,4.264351942996126,51.16356109230219,-7.498730430824086,15.063689385762943,2.4869906692069246,79.56917406002191,-21.145621098527332,20.0,18,2.2,1.3,6.822963108793802,1.607815199291496
XP_TK20_BL21_ST2.2_RE1.2,chase,0.019348313928971184,-0.012033916545568957,13,207.84831034991828,195.82796201491826,4.264351942996126,51.16356109230219,-7.498730430824086,15.063689385762943,2.4869906692069246,79.56917406002191,-21.145621098527332,20.0,21,2.2,1.2,6.822963108793802,1.607815199291496
XP_TK20_BL21_ST2.2_RE1.3,chase,0.019348313928971184,-0.012033916545568957,13,207.84831034991828,195.82796201491826,4.264351942996126,51.16356109230219,-7.498730430824086,15.063689385762943,2.4869906692069246,79.56917406002191,-21.145621098527332,20.0,21,2.2,1.3,6.822963108793802,1.607815199291496
