variant,entry_mode,return,max_drawdown,trade_count,gross_closed_pnl,net_closed_pnl,profit_factor,avg_winner,avg_loser,expectancy_per_trade,avg_R_realized,remove_best_trade_net,mfe_capture_ratio,squeeze_bw_q,squeeze_atr_q,range_pos_threshold,take_R,trail_start_R,winner_loser_ratio,return_over_dd
PP_BW0.20_AQ0.30_RP0.55_TK12_TS1.2,chase,0.02389352805253031,-0.009004133590898356,18,251.89326050558813,241.86822995558816,3.9784776139486406,64.6147101389819,-6.246563133793956,13.437123886421565,2.1134412949468673,120.69942839981388,-2.243855062214417,0.2,0.3,0.55,12.0,1.2,10.344041796266465,2.6536176758508554
PP_BW0.20_AQ0.30_RP0.55_TK12_TS1.6,chase,0.02389352805253031,-0.009004133590898356,18,251.89326050558813,241.86822995558816,3.9784776139486406,64.6147101389819,-6.246563133793956,13.437123886421565,2.1134412949468673,120.69942839981388,-2.243855062214417,0.2,0.3,0.55,12.0,1.6,10.344041796266465,2.6536176758508554
PP_BW0.20_AQ0.30_RP0.55_TK12_TS2.0,chase,0.02389352805253031,-0.009004133590898356,18,251.89326050558813,241.86822995558816,3.9784776139486406,64.6147101389819,-6.246563133793956,13.437123886421565,2.1134412949468673,120.69942839981388,-2.243855062214417,0.2,0.3,0.55,12.0,2.0,10.344041796266465,2.6536176758508554
PP_BW0.20_AQ0.30_RP0.60_TK12_TS1.2,chase,0.02389352805253031,-0.009004133590898356,18,251.89326050558813,241.86822995558816,3.9784776139486406,64.6147101389819,-6.246563133793956,13.437123886421565,2.1134412949468673,120.69942839981388,-2.243855062214417,0.2,0.3,0.6,12.0,1.2,10.344041796266465,2.6536176758508554
PP_BW0.20_AQ0.30_RP0.60_TK12_TS1.6,chase,0.02389352805253031,-0.009004133590898356,18,251.89326050558813,241.86822995558816,3.9784776139486406,64.6147101389819,-6.246563133793956,13.437123886421565,2.1134412949468673,120.69942839981388,-2.243855062214417,0.2,0.3,0.6,12.0,1.6,10.344041796266465,2.6536176758508554
PP_BW0.20_AQ0.30_RP0.60_TK12_TS2.0,chase,0.02389352805253031,-0.009004133590898356,18,251.89326050558813,241.86822995558816,3.9784776139486406,64.6147101389819,-6.246563133793956,13.437123886421565,2.1134412949468673,120.69942839981388,-2.243855062214417,0.2,0.3,0.6,12.0,2.0,10.344041796266465,2.6536176758508554
PP_BW0.20_AQ0.30_RP0.65_TK12_TS1.2,chase,0.02389352805253031,-0.009004133590898356,18,251.89326050558813,241.86822995558816,3.9784776139486406,64.6147101389819,-6.246563133793956,13.437123886421565,2.1134412949468673,120.69942839981388,-2.243855062214417,0.2,0.3,0.65,12.0,1.2,10.344041796266465,2.6536176758508554
PP_BW0.20_AQ0.30_RP0.65_TK12_TS1.6,chase,0.02389352805253031,-0.009004133590898356,18,251.89326050558813,241.86822995558816,3.9784776139486406,64.6147101389819,-6.246563133793956,13.437123886421565,2.1134412949468673,120.69942839981388,-2.243855062214417,0.2,0.3,0.65,12.0,1.6,10.344041796266465,2.6536176758508554
PP_BW0.20_AQ0.30_RP0.65_TK12_TS2.0,chase,0.02389352805253031,-0.009004133590898356,18,251.89326050558813,241.86822995558816,3.9784776139486406,64.6147101389819,-6.246563133793956,13.437123886421565,2.1134412949468673,120.69942839981388,-2.243855062214417,0.2,0.3,0.65,12.0,2.0,10.344041796266465,2.6536176758508554
PP_BW0.20_AQ0.35_RP0.55_TK12_TS1.2,chase,0.02389352805253031,-0.009004133590898356,18,251.89326050558813,241.86822995558816,3.9784776139486406,64.6147101389819,-6.246563133793956,13.437123886421565,2.1134412949468673,120.69942839981388,-2.243855062214417,0.2,0.35,0.55,12.0,1.2,10.344041796266465,2.6536176758508554
PP_BW0.20_AQ0.35_RP0.55_TK12_TS1.6,chase,0.02389352805253031,-0.009004133590898356,18,251.89326050558813,241.86822995558816,3.9784776139486406,64.6147101389819,-6.246563133793956,13.437123886421565,2.1134412949468673,120.69942839981388,-2.243855062214417,0.2,0.35,0.55,12.0,1.6,10.344041796266465,2.6536176758508554
