variant,entry_mode,return,max_drawdown,trade_count,gross_closed_pnl,net_closed_pnl,profit_factor,avg_winner,avg_loser,expectancy_per_trade,avg_R_realized,remove_best_trade_net,mfe_capture_ratio,take_R,trail_atr,stop_atr,breakout_lookback,winner_loser_ratio,return_over_dd
PC_TK18_TR2.0_ST2.0_BL18,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,18.0,2.0,2.0,18,11.328464177856468,5.328794308711208
PC_TK18_TR2.4_ST2.0_BL18,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,18.0,2.4,2.0,18,11.328464177856468,5.328794308711208
PC_TK18_TR2.8_ST2.0_BL18,chase,0.030470182670597534,-0.005718025674360638,14,317.88660589896244,307.0144863289624,6.293591209920259,73.0023757352902,-6.444154705276515,21.929606166354457,3.1525418253914284,124.99479602030098,-17.747112165984827,18.0,2.8,2.0,18,11.328464177856468,5.328794308711208
PC_TK14_TR2.0_ST2.4_BL18,chase,0.030109052850237905,-0.005983788240226384,13,313.6942933040623,303.48827421906225,5.659554712783446,73.72414741343268,-8.14155785601264,23.345251863004787,3.189218623546517,133.65646306097838,-22.837418761631056,14.0,2.0,2.4,18,9.055287540453515,5.031771119142878
PC_TK14_TR2.4_ST2.4_BL18,chase,0.030109052850237905,-0.005983788240226384,13,313.6942933040623,303.48827421906225,5.659554712783446,73.72414741343268,-8.14155785601264,23.345251863004787,3.189218623546517,133.65646306097838,-22.837418761631056,14.0,2.4,2.4,18,9.055287540453515,5.031771119142878
PC_TK14_TR2.8_ST2.4_BL18,chase,0.030109052850237905,-0.005983788240226384,13,313.6942933040623,303.48827421906225,5.659554712783446,73.72414741343268,-8.14155785601264,23.345251863004787,3.189218623546517,133.65646306097838,-22.837418761631056,14.0,2.8,2.4,18,9.055287540453515,5.031771119142878
PC_TK16_TR2.0_ST2.2_BL18,chase,0.029639869004064234,-0.005851049745086323,13,309.46841465300105,298.79432281800115,5.980748500935986,71.75683325291874,-7.498730430824086,22.98417867830778,3.052242467286182,120.83962747619887,-21.04617862704055,16.0,2.0,2.2,18,9.569197601497578,5.0657352604044465
PC_TK16_TR2.4_ST2.2_BL18,chase,0.029639869004064234,-0.005851049745086323,13,309.46841465300105,298.79432281800115,5.980748500935986,71.75683325291874,-7.498730430824086,22.98417867830778,3.052242467286182,120.83962747619887,-21.04617862704055,16.0,2.4,2.2,18,9.569197601497578,5.0657352604044465
PC_TK16_TR2.8_ST2.2_BL18,chase,0.029639869004064234,-0.005851049745086323,13,309.46841465300105,298.79432281800115,5.980748500935986,71.75683325291874,-7.498730430824086,22.98417867830778,3.052242467286182,120.83962747619887,-21.04617862704055,16.0,2.8,2.2,18,9.569197601497578,5.0657352604044465
PC_TK16_TR2.0_ST2.0_BL18,chase,0.029377182064505458,-0.005735243781266108,14,306.47169763389854,296.0787728138986,6.10503594782256,70.81523303227743,-6.444154705276515,21.148483772421326,3.417418445738981,134.3769515895329,-17.694504687366706,16.0,2.0,2.0,18,10.989064706080608,5.122220290001374
